id_sls,id_batch
1805130015001700,18050412
1805130015001800,18050412
1805130015001900,18050412
1805130015002000,18050412
1805130015002100,18050412
1805130015002200,18050412
1805130015002300,18050412
1805130015002400,18050412
1805130015002500,18050412
1805130015002600,18050412
1805130015002700,18050412
1805130016000100,18050412
1805130016000200,18050412
1805130016000300,18050412
1805130016000400,18050412
1805130016000500,18050412
1805130016000600,18050412
1805130016000700,18050412
1805130016000800,18050412
1805130016002600,18050413
1805130016002700,18050413
1805130016002800,18050413
1805130016000900,18050414
1805130016001000,18050414
1805130016001100,18050414
1805130016001200,18050414
1805130016001300,18050414
1805130016001400,18050414
1805130016001500,18050414
1805130016001600,18050414
1805130016001700,18050414
1805130016001800,18050414
1805130016001900,18050414
1805130016002000,18050414
1805130016002100,18050414
1805130016002200,18050414
1805130016002300,18050414
1805130016002400,18050414
1805130016002500,18050414
1805130016002900,18050415
1805130016003000,18050415
1805130016003100,18050415
1805130016003200,18050415
1805130016003300,18050415
1805130016100100,18050415
1805130018000100,18050415
1805130018000200,18050415
1805130018000300,18050415
1805130018000400,18050415
1805130018000500,18050415
1805130018000600,18050415
1805130018000700,18050415
1805130018000800,18050415
1805130018000900,18050415
1805130018001000,18050415
1805130018001100,18050415
1805130018001200,18050415
1805130018001300,18050415
1805130018001400,18050415
1805130018001500,18050415
1805130018001600,18050415
1805130018001700,18050415
1805130018001800,18050415
1805130018001900,18050415
1805130018002000,18050416
1805130018002100,18050416
1805130018002200,18050416
1805130018002300,18050416
1805130018002400,18050416
1805130018002500,18050416
1805130018002600,18050416
1805130018002700,18050416
1805130018002800,18050416
1805130018002900,18050416
1805130018003000,18050416
1805130019000100,18050416
1805130019000200,18050416
1805130019000300,18050416
1805130019000400,18050416
1805130019000500,18050416
1805130019000600,18050416
1805130019000700,18050416
1805130019000800,18050416
1805130019000900,18050416
1805130019001000,18050416
1805130019001100,18050416
1805130019001200,18050416
1805130019001300,18050416
1805130019001400,18050416
1805130019001500,18050416
1805130019001600,18050416
1805130019001700,18050416
1805130019001800,18050416
1805130019001900,18050416
1805130019002000,18050416
